,model,listing_price,trim,reg_date,mileage,transmission,color,car_body,car_engine,car_page_url
4214,Kia Sportage,"£14,400",1.6L 2 GDi,Oct 2017,"37,698 miles",Manual,White,5 door SUV,1.6L,https://www.cazoo.co.uk/car-details/57d9e4e5-de31-57b4-a942-5c63c04fe1af/
4215,Vauxhall Grandland X,"£14,350",1.2L Sport Nav Turbo,Sept 2018,"34,804 miles",Manual,Grey,5 door SUV,1.2L,https://www.cazoo.co.uk/car-details/4aed0550-05dd-55b1-b881-60b192130ae3/
4216,Dacia Duster,"£14,350",1.3L Comfort TCe,Mar 2021,"46,893 miles",Manual,Desert Orange,5 door SUV,1.3L,https://www.cazoo.co.uk/car-details/0544948a-335f-568c-b515-86f468cc1bc1/
4217,BMW 1 Series,"£14,350",1.5L SE 118i,May 2017,"15,957 miles",Manual,Black Sapphire metallic paint,5 door Hatchback,1.5L,https://www.cazoo.co.uk/car-details/d9ed7898-dab2-5bce-a3c7-1604281227a6/
4218,Volkswagen Golf,"£14,350",1L SE Nav TSI,May 2018,"13,661 miles",Manual,Red,5 door Hatchback,1L,https://www.cazoo.co.uk/car-details/59c82f2e-1f69-56f2-a743-2f63eb8a6fbc/
4219,Nissan Qashqai,"£14,350",1.2L Tekna DIG-T,Oct 2017,"32,884 miles",Manual,Blue,5 door SUV,1.2L,https://www.cazoo.co.uk/car-details/1be5b032-03c7-52de-b297-17ac07612d81/
4220,Kia Sportage,"£14,350",1.6L 1 GDi,Jan 2019,"31,998 miles",Manual,Silver,5 door SUV,1.6L,https://www.cazoo.co.uk/car-details/1e812c54-0f86-5616-a58f-b9d393426771/
4221,Vauxhall Grandland X,"£14,350",1.2L SE Turbo,Oct 2018,"10,790 miles",Manual,Black,5 door SUV,1.2L,https://www.cazoo.co.uk/car-details/19876632-576a-5baa-92de-c16ce30f6f01/
4222,Volkswagen Golf,"£14,350",1.6L SE Nav BlueMotion Tech TDI,May 2017,"24,247 miles",Manual,Grey,5 door Hatchback,1.6L,https://www.cazoo.co.uk/car-details/196bb06b-45a6-529f-90b6-09013107c8ff/
4223,Abarth 595,"£14,350",1.4L 70th T-Jet,Jun 2020,"7,160 miles",Manual,Podium Blue,3 door Hatchback,1.4L,https://www.cazoo.co.uk/car-details/621e3d49-1817-5718-9caf-9e5c9e6315a6/
