,model,listing_price,trim,reg_date,mileage,transmission,color,car_body,car_engine,car_page_url
1101,Hyundai i30,"£24,100",2L N Performance T-GDi,Jul 2019,"16,957 miles",Manual,Grey,5 door Hatchback,2L,https://www.cazoo.co.uk/car-details/64d2b663-fa1d-5bd5-8c98-abe590bbdeac/
1102,BMW 1 Series,"£24,100",3L Shadow Edition M140i,Sept 2018,"30,712 miles",Automatic,Mineral Grey,5 door Hatchback,3L,https://www.cazoo.co.uk/car-details/8183f915-3f6a-5fec-80c9-9daca74bfa07/
1103,Mini Countryman,"£24,100",1.5L Cooper Exclusive,Sept 2019,"21,973 miles",Automatic,Melting Silver,5 door SUV,1.5L,https://www.cazoo.co.uk/car-details/95bf498e-e3b5-542e-aaba-72cb35e7b1cd/
1104,Peugeot 5008,"£24,050",1.2L GT Line PureTech,Jul 2019,"20,671 miles",Automatic,Grey,4 door SUV,1.2L,https://www.cazoo.co.uk/car-details/eb39cfde-4e8b-5719-aa2a-6bcb50f5db26/
1105,Mercedes-Benz GLA Class,"£24,050",2L AMG Line GLA250,Jan 2018,"29,494 miles",Automatic,Black,5 door SUV,2L,https://www.cazoo.co.uk/car-details/fbdd5113-e1de-5bb2-9e97-a9780099af61/
1106,BMW X1,"£24,050",2L Sport 20d,Mar 2019,"10,132 miles",Automatic,Black Sapphire metallic paint,5 door SUV,2L,https://www.cazoo.co.uk/car-details/b249aa0b-21fd-5030-808f-0b1383272489/
1107,Lexus UX 250h,"£24,050",2L UX,Sept 2019,"29,344 miles",Automatic,White,5 door SUV,2L,https://www.cazoo.co.uk/car-details/bc4d0851-4f95-5e2e-b8f6-a4454cb37995/
1108,BMW 2 Series Active Tourer,"£24,050",1.5L M Sport 218i,Sept 2021,"2,610 miles",Automatic,Black Sapphire metallic paint,5 door MPV,1.5L,https://www.cazoo.co.uk/car-details/dad2f0ec-444d-52b5-bdfe-0988b442db68/
1109,Audi A3,"£24,050",1.5L Sport TFSI,Oct 2020,"8,356 miles",Automatic,Grey,5 door Hatchback,1.5L,https://www.cazoo.co.uk/car-details/7a183790-41f8-59b4-81c6-250690c7bbbc/
1110,Audi A5,"£24,050",2L Sport TFSI,Nov 2019,"7,454 miles",Automatic,White,5 door Hatchback,2L,https://www.cazoo.co.uk/car-details/c0ea6bff-67c2-54ab-8a7c-ea07938d0baa/
1111,Mercedes-Benz GLA Class,"£24,000",1.6L Urban Edition GLA180,Jul 2019,"17,134 miles",Automatic,Black,5 door SUV,1.6L,https://www.cazoo.co.uk/car-details/2e3b62da-8fca-5c01-80f2-d23c3d367128/
1112,Land Rover Discovery Sport,"£24,000",2L SE Tech TD4,Jul 2017,"30,070 miles",Automatic,White,5 door SUV,2L,https://www.cazoo.co.uk/car-details/e2607dfd-e897-5a73-9f96-00f78e122d68/
1113,Volkswagen Golf,"£24,000",2L R TSI,Apr 2018,"59,169 miles",Automatic,Black,5 door Hatchback,2L,https://www.cazoo.co.uk/car-details/823b0743-54d5-584f-860a-6e85c4fae257/
1114,BMW 1 Series,"£24,000",3L Shadow Edition M140i,Mar 2018,"41,929 miles",Automatic,Sunset Orange metallic paint,5 door Hatchback,3L,https://www.cazoo.co.uk/car-details/0095ac0c-2c6b-510a-9779-7eaf42aa522d/
1115,Mazda CX-5,"£24,000",2L GT Sport Nav+ SKYACTIV-G,Jun 2019,"16,559 miles",Automatic,Red,5 door SUV,2L,https://www.cazoo.co.uk/car-details/8a438464-d3ff-5752-b5ec-57b66539ed1a/
1116,Mercedes-Benz GLA Class,"£24,000",2.1L Sport GLA200d,Jul 2019,"23,753 miles",Automatic,White,5 door SUV,2.1L,https://www.cazoo.co.uk/car-details/cf633ee4-0eaf-5d1f-807c-92b2e76e295f/
1117,BMW X1,"£24,000",2L M Sport 20i,Jun 2019,"12,410 miles",Automatic,Mineral White,5 door SUV,2L,https://www.cazoo.co.uk/car-details/ba4f6290-2b64-5a63-bd50-a0845ac0bf1b/
1118,Land Rover Range Rover Evoque,"£24,000",2L Landmark TD4,Jan 2018,"33,442 miles",Automatic,White,5 door SUV,2L,https://www.cazoo.co.uk/car-details/29e7d115-a07a-5eaf-9091-fee6f9e586c5/
1119,Abarth 124 Spider,"£23,950",1.4L MultiAir,Mar 2019,"8,223 miles",Automatic,Costa Brava 1972 Red,2 door Convertible,1.4L,https://www.cazoo.co.uk/car-details/cc0fecf4-ca0e-5ee2-931e-5c2e976260b0/
1120,Mercedes-Benz GLA Class,"£23,950",1.6L Urban Edition GLA180,Jun 2019,"14,271 miles",Automatic,Silver,5 door SUV,1.6L,https://www.cazoo.co.uk/car-details/0c226437-a313-5691-823e-3d3c5b841d19/
1121,BMW 5 Series,"£23,950",2L M Sport 520d,Jan 2018,"49,995 miles",Automatic,Sophisto Grey Xirallic,4 door Saloon,2L,https://www.cazoo.co.uk/car-details/808b642b-9a98-57f9-99f4-53893b3d0ac6/
1122,Mercedes-Benz A Class,"£23,950",1.3L AMG Line A180,Jan 2019,"19,848 miles",Automatic,Black,5 door Hatchback,1.3L,https://www.cazoo.co.uk/car-details/16cd05a7-43a0-59ae-8280-2e3e975b36f2/
1123,BMW 4 Series,"£23,950",3L M Sport 440i,Jun 2018,"46,453 miles",Automatic,Alpine White,2 door Coupe,3L,https://www.cazoo.co.uk/car-details/33338a39-b90b-5d27-b046-12b02390c63b/
1124,Toyota Corolla,"£23,950",1.8L Design VVT-h,Mar 2020,"19,659 miles",Automatic,Black,4 door Saloon,1.8L,https://www.cazoo.co.uk/car-details/1e50dc5c-de75-5e92-a334-dcd2e6f11388/
1125,Land Rover Range Rover Evoque,"£23,950",2L SE Tech TD4,Jun 2018,"27,917 miles",Automatic,Black,5 door SUV,2L,https://www.cazoo.co.uk/car-details/8ec0956d-44dd-50eb-80c6-82a998047f80/
1126,Jaguar XJ,"£23,950",3L Portfolio d V6,Mar 2017,"22,789 miles",Automatic,Grey,4 door Saloon,3L,https://www.cazoo.co.uk/car-details/6bbaea07-d7fa-53f7-9626-3920e23a2d0e/
1127,Jaguar E-PACE,"£23,950",2L S D150,Mar 2019,"7,054 miles",Manual,Red,5 door SUV,2L,https://www.cazoo.co.uk/car-details/e01e99c2-bea8-5832-a855-58c729cae1b4/
1128,Volkswagen Golf,"£23,900",1.5L Active TSI,Mar 2022,"2,563 miles",Manual,Black,5 door Hatchback,1.5L,https://www.cazoo.co.uk/car-details/cc44d7fb-5051-50a4-a05c-9a042cf80fb0/
1129,Mitsubishi Outlander,"£23,900",2.4L 4h h TwinMotor,Sept 2018,"20,184 miles",Automatic,Black,5 door SUV,2.4L,https://www.cazoo.co.uk/car-details/189f251d-c641-54ae-a716-093afadc8017/
1130,Peugeot 3008,"£23,900",1.6L GT Line Premium PureTech,Jul 2019,"16,477 miles",Automatic,Black,5 door SUV,1.6L,https://www.cazoo.co.uk/car-details/2985f617-dba3-5459-bb02-9f369edcacaa/
1131,BMW 3 Series,"£23,900",2L M Sport 320i,Apr 2019,"48,622 miles",Automatic,Portimao Blue,4 door Saloon,2L,https://www.cazoo.co.uk/car-details/ca61238e-2812-5414-84d4-7ff85fc8b813/
1132,Mercedes-Benz E Class,"£23,900",2L SE E220d,Mar 2018,"37,658 miles",Automatic,Grey,4 door Saloon,1.9L,https://www.cazoo.co.uk/car-details/94b85dbf-d14f-5f24-a075-5abd689cd362/
1133,BMW 1 Series,"£23,900",1.5L M Sport 118i,Oct 2020,"7,890 miles",Manual,Storm Bay metallic,5 door Hatchback,1.5L,https://www.cazoo.co.uk/car-details/1e92cf5f-7a86-5ae8-a504-1a4c287751cf/
1134,Jaguar E-PACE,"£23,900",2L S D150,Sept 2019,"10,701 miles",Manual,Grey,5 door SUV,2L,https://www.cazoo.co.uk/car-details/93f98376-55e3-5ade-8f9d-9ad6322d29e7/
1135,Kia Sportage,"£23,900",1.6L GT-Line S T-GDi,Apr 2019,"4,360 miles",Automatic,Grey,5 door SUV,1.6L,https://www.cazoo.co.uk/car-details/052e9d3a-9138-5cb4-8116-9d98d8af1f1d/
1136,Audi S3,"£23,900",2L Black Edition TFSI,Sept 2017,"34,632 miles",Automatic,White,5 door Hatchback,2L,https://www.cazoo.co.uk/car-details/aaf9c29c-7d7a-5ca7-891f-06d35c4e72b1/
1137,BMW X1,"£23,850",1.5L Sport 18i,Oct 2019,"25,161 miles",Automatic,Alpine White,5 door SUV,1.5L,https://www.cazoo.co.uk/car-details/7e621267-9477-5768-9195-03b17555e870/
1138,Land Rover Discovery Sport,"£23,850",2L HSE TD4,Oct 2017,"32,317 miles",Manual,White,5 door SUV,2L,https://www.cazoo.co.uk/car-details/9eacb0f4-3fb8-5d0a-9136-ddc6e1e15c00/
1139,Land Rover Range Rover Evoque,"£23,850",2L SE Tech TD4,Sept 2018,"14,798 miles",Manual,Black,5 door SUV,2L,https://www.cazoo.co.uk/car-details/66cb3ffe-f2f7-5927-905a-252c5b09bc60/
1140,BMW 1 Series,"£23,850",1.5L M Sport 118i,Jan 2020,"16,725 miles",Automatic,Misano Blue metallic,5 door Hatchback,1.5L,https://www.cazoo.co.uk/car-details/461f2c79-8312-5c73-9e02-6dad8639fdb0/
1141,Land Rover Discovery Sport,"£23,800",2L SE Tech TD4,Jun 2018,"42,771 miles",Automatic,Grey,5 door SUV,2L,https://www.cazoo.co.uk/car-details/6d9a934d-bfde-5192-bb4b-d776a45ca9b9/
1142,Audi Q2,"£23,800",1.5L Sport CoD TFSI,Aug 2020,"13,353 miles",Automatic,White,5 door SUV,1.5L,https://www.cazoo.co.uk/car-details/c259846f-8d7e-5105-a8fe-9d40f453dfba/
1143,Land Rover Range Rover Evoque,"£23,800",2L SE Tech eD4,Oct 2018,"12,018 miles",Manual,Blue,5 door SUV,2L,https://www.cazoo.co.uk/car-details/f09f758e-d787-5c6c-8c67-fdf66ef7c23d/
1144,Mercedes-Benz C Class,"£23,800",1.5L Sport MHEV EQ Boost C200,Sept 2018,"12,818 miles",Automatic,Silver,5 door Estate,1.5L,https://www.cazoo.co.uk/car-details/51ee4767-2edb-5294-b9eb-a16e04422443/
1145,BMW X1,"£23,800",2L M Sport 20i,Jun 2019,"21,312 miles",Automatic,Mineral Grey,5 door SUV,2L,https://www.cazoo.co.uk/car-details/f1cecf6e-ba2e-525f-b2e8-4c6421b33742/
1146,Volkswagen Tiguan,"£23,800",2L R-Line TDI,Nov 2017,"33,072 miles",Manual,Silver,5 door SUV,2L,https://www.cazoo.co.uk/car-details/5d579199-4083-58a3-80bd-3865195b04d0/
1147,BMW 1 Series,"£23,800",3L Shadow Edition M140i,Jan 2018,"29,000 miles",Automatic,Mineral Grey,5 door Hatchback,3L,https://www.cazoo.co.uk/car-details/08de1ef2-53b1-50ff-84ce-ad10f27e8985/
1148,BMW 1 Series,"£23,800",1.5L M Sport 118i,Mar 2020,"26,378 miles",Automatic,Black Sapphire metallic paint,5 door Hatchback,1.5L,https://www.cazoo.co.uk/car-details/56b7b385-5525-5a85-894d-e7c80208a7a9/
1149,Mercedes-Benz E Class,"£23,750",2L SE E220d,May 2018,"33,277 miles",Automatic,White,4 door Saloon,1.9L,https://www.cazoo.co.uk/car-details/abdf6346-13c1-5d9d-87cb-5d6d696dd141/
1150,Mercedes-Benz A Class,"£23,750",1.5L AMG Line A180d,Sept 2019,"26,878 miles",Automatic,Blue,5 door Hatchback,1.5L,https://www.cazoo.co.uk/car-details/fc3def3e-1e45-5e17-be36-812cc600d80a/
1151,Volvo S60,"£23,750",2L R-Design Plus T5,Jan 2020,"24,892 miles",Automatic,Grey,4 door Saloon,2L,https://www.cazoo.co.uk/car-details/d95efaba-27cc-5a3f-970d-04255fcc2afa/
1152,Mini Convertible,"£23,750",2L Cooper S 25th Anniversary,Jun 2018,"14,206 miles",Automatic,Starlight Blue,2 door Convertible,2L,https://www.cazoo.co.uk/car-details/382827c2-86a0-573e-89a3-784683aad129/
1153,Peugeot 208,"£23,750",Allure,Jan 2020,"16,167 miles",Automatic,Grey,5 door Hatchback,,https://www.cazoo.co.uk/car-details/9be9cdcc-cf21-5623-952c-5d45e2553fdd/
1154,Mercedes-Benz GLA Class,"£23,750",2.1L AMG Line GLA200d,Mar 2019,"15,178 miles",Automatic,Grey,5 door SUV,2.1L,https://www.cazoo.co.uk/car-details/31f896f9-af97-55eb-89bd-86fb9178c5fc/
1155,Kia Sportage,"£23,750",1.6L GT-Line T-GDi,Mar 2020,"14,095 miles",Automatic,Black,5 door SUV,1.6L,https://www.cazoo.co.uk/car-details/71393953-5ef1-57a4-90fd-ea814b3fd11c/
1156,Volvo XC60,"£23,750",2L Momentum D4,Jun 2018,"40,471 miles",Automatic,Grey,5 door SUV,2L,https://www.cazoo.co.uk/car-details/c26071c9-0450-589a-875d-74805e1f0267/
1157,Mercedes-Benz GLA Class,"£23,750",1.6L Urban Edition GLA180,Nov 2019,"17,706 miles",Automatic,Grey,5 door SUV,1.6L,https://www.cazoo.co.uk/car-details/fcbc0c60-c2d2-54af-96cd-6524463a2e0f/
1158,BMW i3,"£23,750",S,Jun 2018,"24,728 miles",Automatic,Capparis White with BMW i Blue highlight,4 door Hatchback,,https://www.cazoo.co.uk/car-details/6d23903f-4d31-5f57-9179-cb062c129c27/
1159,Ford Puma,"£23,750",1L ST-Line Design EcoBoost MHEV T,Sept 2021,"5,215 miles",Automatic,Black,5 door SUV,1L,https://www.cazoo.co.uk/car-details/34d62fe7-8c5e-509a-8b74-158dec65f244/
1160,Volvo V60,"£23,750",2L R-Design D4,May 2019,"31,671 miles",Automatic,Red,5 door Estate,2L,https://www.cazoo.co.uk/car-details/253e1bb4-8cd0-5a19-b671-a773028bf902/
1161,Land Rover Range Rover Evoque,"£23,750",2L SE TD4,Nov 2018,"13,716 miles",Automatic,Grey,5 door SUV,2L,https://www.cazoo.co.uk/car-details/48cfec96-3b61-5533-9a2a-4aed1679b366/
1162,BMW X2,"£23,700",2L M Sport 20d,Jan 2018,"23,800 miles",Automatic,Black Sapphire metallic paint,5 door SUV,2L,https://www.cazoo.co.uk/car-details/37067fff-df1b-5c9c-9cde-20840c527e52/
1163,Mini Hatch,"£23,700",2L Cooper S Exclusive,Sept 2020,"9,560 miles",Automatic,Emerald Grey,5 door Hatchback,2L,https://www.cazoo.co.uk/car-details/9d4adc6a-89c2-506e-a722-b6202d49d2e7/
1164,Volkswagen Tiguan,"£23,700",2L SEL TDI,Mar 2019,"28,348 miles",Automatic,Grey,5 door SUV,2L,https://www.cazoo.co.uk/car-details/a68c2959-aa9c-5bcb-b6fa-4b7ded546cfd/
1165,Toyota Prius,"£23,700",1.8L Excel VVT-h,May 2019,"17,300 miles",Automatic,Grey,5 door Hatchback,1.8L,https://www.cazoo.co.uk/car-details/c902ced4-ce7f-5922-bf40-c037a2ba9406/
1166,Toyota Corolla,"£23,700",1.8L Icon VVT-h,Jun 2021,"8,232 miles",Automatic,Blue,5 door Estate,1.8L,https://www.cazoo.co.uk/car-details/f1f7f066-febd-5b02-a226-cf9117c1c19a/
1167,Alfa Romeo Giulia,"£23,700",2L Veloce T,Sept 2018,"22,777 miles",Automatic,Alfa Red,4 door Saloon,2L,https://www.cazoo.co.uk/car-details/24fb6e58-0a1d-5dca-be77-0c701d7b15bd/
1168,Kia Sportage,"£23,650",1.6L Platinum Edition GDi,Apr 2021,"2,609 miles",Manual,Silver,5 door SUV,1.6L,https://www.cazoo.co.uk/car-details/ce87be73-9aca-5e81-9818-e96356188de3/
1169,BMW X2,"£23,650",2L M Sport 20d,Sept 2018,"33,745 miles",Automatic,Black Sapphire metallic paint,5 door SUV,2L,https://www.cazoo.co.uk/car-details/95f79e6c-20af-518b-a09b-94527cb296e8/
1170,Mitsubishi Outlander,"£23,650",2.4L 4h h TwinMotor,Jul 2019,"32,475 miles",Automatic,Black,5 door SUV,2.4L,https://www.cazoo.co.uk/car-details/ae3d8ee3-0172-5c2d-90d2-7bafcab8c0e0/
1171,Audi A1,"£23,650",1L S line TFSI,Jun 2021,"19,680 miles",Automatic,Black,5 door Hatchback,1L,https://www.cazoo.co.uk/car-details/11de2c0b-3ddc-59f9-9ad5-1fd76174dff4/
1172,Volvo S60,"£23,650",2L R-Design Plus T5,Jan 2020,"16,848 miles",Automatic,Grey,4 door Saloon,2L,https://www.cazoo.co.uk/car-details/0db71fad-fcfb-5c15-9d23-d005b51601a1/
1173,Kia Sportage,"£23,650",1.6L GT-Line S T-GDi,Apr 2019,"12,958 miles",Automatic,Red,5 door SUV,1.6L,https://www.cazoo.co.uk/car-details/8d5e8cca-b908-5a6b-8ca3-ba865cfed1e4/
1174,Peugeot 3008,"£23,650",1.5L GT Line Premium BlueHDi,Apr 2019,"9,687 miles",Automatic,Blue,5 door SUV,1.5L,https://www.cazoo.co.uk/car-details/f28c9f4f-d2f0-530a-975e-ccba403e08c3/
1175,BMW X2,"£23,650",2L M Sport X 20d,Jun 2018,"14,778 miles",Automatic,Alpine White,5 door SUV,2L,https://www.cazoo.co.uk/car-details/0d9472b3-7bf2-5fb8-bd41-d3f137d04355/
1176,Audi S3,"£23,600",2L TFSI,Nov 2016,"44,964 miles",Automatic,Blue,4 door Saloon,2L,https://www.cazoo.co.uk/car-details/f8927827-0a4c-59d4-8011-eafdfc6f920f/
1177,Mercedes-Benz C Class,"£23,600",2.1L AMG Line C220d,Sept 2017,"36,257 miles",Automatic,Blue,2 door Coupe,2.1L,https://www.cazoo.co.uk/car-details/8a9d3bb5-ea61-5ed9-94af-e7ba59627640/
1178,Audi TT,"£23,600",1.8L S line TFSI,Mar 2018,"24,627 miles",Automatic,Black,3 door Coupe,1.8L,https://www.cazoo.co.uk/car-details/253b6350-904a-5808-a8a3-ab439b70792a/
1179,Skoda Kodiaq,"£23,600",2L Scout TDI,Mar 2018,"55,394 miles",Automatic,Grey,5 door SUV,2L,https://www.cazoo.co.uk/car-details/c651ff24-d90d-50a9-8a0d-9424ce44b6a4/
1180,Mercedes-Benz A Class,"£23,600",1.3L AMG Line A180,Feb 2020,"24,155 miles",Automatic,Silver,5 door Hatchback,1.3L,https://www.cazoo.co.uk/car-details/e34a3e50-e6dd-5712-a8dc-cd151cf0a32e/
1181,Volkswagen Golf,"£23,600",1.5L Style MHEV eTSI,Oct 2020,"6,573 miles",Automatic,Blue,5 door Hatchback,1.5L,https://www.cazoo.co.uk/car-details/da9ffc70-daff-5e52-86d4-4ec6daea3698/
1182,Peugeot 3008,"£23,600",1.5L Allure BlueHDi,Sept 2021,"1,794 miles",Manual,Grey,5 door SUV,1.5L,https://www.cazoo.co.uk/car-details/ba1d214e-13cd-5dc0-856c-d54acb740867/
1183,BMW X2,"£23,600",1.5L M Sport 18i,Jun 2019,"9,306 miles",Automatic,Alpine White,5 door SUV,1.5L,https://www.cazoo.co.uk/car-details/6078c4dd-b61b-5db9-a4e2-38c24112c3ed/
1184,Mercedes-Benz GLA Class,"£23,600",1.6L AMG Line GLA200,Jan 2019,"23,928 miles",Automatic,Red,5 door SUV,1.6L,https://www.cazoo.co.uk/car-details/22fcb717-c56a-525e-89c2-31ae11630a49/
1185,Mini Hatch,"£23,600",2L Cooper S Classic,Sept 2021,"3,913 miles",Automatic,Enigmatic Black,3 door Hatchback,2L,https://www.cazoo.co.uk/car-details/93c05c60-0cc3-5015-b8c2-69dc348d0e04/
1186,BMW 1 Series,"£23,600",1.5L M Sport 118i,Jan 2020,"24,258 miles",Automatic,Misano Blue metallic,5 door Hatchback,1.5L,https://www.cazoo.co.uk/car-details/34bff6aa-b610-56e4-b862-4f41c3c8a6a2/
1187,Lexus IS 300,"£23,600",2.5L F Sport,Nov 2018,"12,895 miles",Automatic,Black,5 door Saloon,2.5L,https://www.cazoo.co.uk/car-details/0692e8fc-8126-5bac-b095-74a8e5b7d5ff/
1188,BMW 1 Series,"£23,550",3L Shadow Edition M140i,Sept 2017,"40,205 miles",Automatic,Alpine White,5 door Hatchback,3L,https://www.cazoo.co.uk/car-details/759aafb9-9b73-5288-8935-d70ea0a48d65/
1189,Mitsubishi Outlander,"£23,550",2.4L Juro h TwinMotor,Feb 2019,"20,591 miles",Automatic,Red,5 door SUV,2.4L,https://www.cazoo.co.uk/car-details/531d3005-ee24-575b-aed9-05a7b209302c/
1190,BMW 3 Series,"£23,550",2L Sport 320i,Mar 2019,"39,593 miles",Automatic,Black Sapphire metallic paint,4 door Saloon,2L,https://www.cazoo.co.uk/car-details/de727f00-9655-5dff-9222-f2fea28a793d/
1191,Volkswagen Tiguan,"£23,550",2L R-Line Tech TDI,May 2019,"56,086 miles",Manual,Grey,5 door SUV,2L,https://www.cazoo.co.uk/car-details/88a2eabb-006d-53b9-8b0f-a3cd358bc86a/
1192,Mercedes-Benz A Class,"£23,550",1.3L AMG Line A180,Jul 2020,"31,157 miles",Automatic,Black,5 door Hatchback,1.3L,https://www.cazoo.co.uk/car-details/5e36d165-1f0c-5420-a9e5-2aff19cee41c/
1193,Volkswagen Tiguan,"£23,550",1.5L Match TSI EVO,Jul 2019,"18,357 miles",Automatic,White,5 door SUV,1.5L,https://www.cazoo.co.uk/car-details/62fbb33f-25c4-5132-9dd6-99ba885c00cd/
1194,Land Rover Discovery Sport,"£23,550",2L SE Tech TD4,Jun 2017,"33,908 miles",Automatic,Red,5 door SUV,2L,https://www.cazoo.co.uk/car-details/1f451600-5482-5a8c-9565-f52d5c2301f2/
1195,Audi A7,"£23,550",3L Black Edition TDI V6,Sept 2016,"37,572 miles",Automatic,Grey,5 door Hatchback,3L,https://www.cazoo.co.uk/car-details/6a194936-4842-5707-b079-de8f16a210cf/
1196,Kia Sportage,"£23,550",1.6L GT-Line S T-GDi,Dec 2019,"12,176 miles",Automatic,Silver,5 door SUV,1.6L,https://www.cazoo.co.uk/car-details/47552d45-7130-553b-be7f-f2e5de5364ce/
1197,Skoda Octavia,"£23,550",2L SE L TDI,Sept 2020,"7,482 miles",Automatic,White,5 door Estate,2L,https://www.cazoo.co.uk/car-details/effd13c0-e408-5fdf-9b49-d11160c1b208/
1198,BMW 1 Series,"£23,550",1.5L M Sport 118i,Dec 2020,"7,993 miles",Manual,Black Sapphire metallic paint,5 door Hatchback,1.5L,https://www.cazoo.co.uk/car-details/aaa8f36d-1273-5411-9bbf-23dd877d73b9/
1199,Mercedes-Benz GLA Class,"£23,525",1.6L Urban Edition GLA180,Nov 2019,"28,675 miles",Automatic,Grey,5 door SUV,1.6L,https://www.cazoo.co.uk/car-details/ec2a0f79-8b9f-50b8-a58e-0e2b437f790c/
1200,Jaguar E-PACE,"£23,500",2L R-Dynamic D150,Oct 2019,"15,048 miles",Manual,White,5 door SUV,2L,https://www.cazoo.co.uk/car-details/fe7521c8-540b-53a2-8227-a1315906c7d1/
1201,Toyota Corolla,"£23,500",1.8L Design VVT-h,Jun 2019,"26,119 miles",Automatic,White,5 door Estate,1.8L,https://www.cazoo.co.uk/car-details/e618192b-a55d-56d9-9641-14e859be75a6/
1202,Land Rover Range Rover Evoque,"£23,500",2L SE eD4,Sept 2018,"11,736 miles",Manual,Silver,5 door SUV,2L,https://www.cazoo.co.uk/car-details/a62ad21a-a2b5-5a7f-a27a-039ceedab102/
1203,MG MG ZS,"£23,500",Excite,Sept 2020,"5,941 miles",Automatic,White,5 door SUV,,https://www.cazoo.co.uk/car-details/5e2352fe-2887-5dfe-9b78-ac25036071d8/
1204,Seat Leon,"£23,500",2L Cupra 290 Lux TSI,May 2019,"14,761 miles",Automatic,Red,5 door Hatchback,2L,https://www.cazoo.co.uk/car-details/ea144863-983d-5a85-87f8-85c09184fc6d/
1205,BMW 1 Series,"£23,500",1.5L M Sport 118i,Sept 2020,"27,873 miles",Manual,Alpine White,5 door Hatchback,1.5L,https://www.cazoo.co.uk/car-details/eec99b35-2eb0-5afa-8d68-92da7320b314/
1206,Land Rover Range Rover Evoque,"£23,500",2L HSE Dynamic TD4,Feb 2017,"47,215 miles",Automatic,Black,5 door SUV,2L,https://www.cazoo.co.uk/car-details/eebad0a6-44fd-5289-b1b4-a29e5b4d966a/
1207,Peugeot 5008,"£23,500",1.2L Allure PureTech,Jun 2019,"19,729 miles",Manual,White,5 door SUV,1.2L,https://www.cazoo.co.uk/car-details/3db56cc6-d38f-51bb-8821-f4bdf7109976/
1208,Kia Sportage,"£23,500",1.6L GT-Line S T-GDi,Dec 2019,"20,374 miles",Automatic,Grey,5 door SUV,1.6L,https://www.cazoo.co.uk/car-details/1c8ab0ad-dad7-5c00-b995-be2aa20e8074/
1209,Volkswagen Tiguan,"£23,500",2L SEL TDI,Apr 2019,"32,405 miles",Automatic,Blue,5 door SUV,2L,https://www.cazoo.co.uk/car-details/a7d7fc0c-bc06-5ebb-b7d8-55d15f88cd36/
1210,Kia Sportage,"£23,500",1.6L GT-Line T-GDi,Mar 2021,"5,059 miles",Automatic,Grey,5 door SUV,1.6L,https://www.cazoo.co.uk/car-details/9fe781a5-a130-541e-b305-6528eb0c2f0c/
1211,Mercedes-Benz C Class,"£23,450",1.5L AMG Line EQ Boost C200,Mar 2019,"49,699 miles",Automatic,Silver,2 door Coupe,1.5L,https://www.cazoo.co.uk/car-details/99f4fe65-a4fa-5f8f-ad87-05759754542d/
1212,Mini Hatch,"£23,450",2L Cooper S Sport,Jul 2021,"7,828 miles",Manual,Chili Red,3 door Hatchback,2L,https://www.cazoo.co.uk/car-details/a5c1a283-4c4a-59d4-a31c-67b85d127e99/
1213,Mercedes-Benz A Class,"£23,450",1.3L AMG Line A200,Apr 2019,"16,797 miles",Automatic,Grey,5 door Hatchback,1.3L,https://www.cazoo.co.uk/car-details/c610fa5c-9a1f-592f-9b74-2c9713460f3d/
1214,Mercedes-Benz A Class,"£23,450",1.5L AMG Line A180d,Apr 2019,"17,623 miles",Automatic,Grey,5 door Hatchback,1.5L,https://www.cazoo.co.uk/car-details/ea75923d-68e8-5547-886b-4d72388ce4d0/
1215,Hyundai IONIQ,"£23,450",1.6L Premium h-GDi,Mar 2021,"6,014 miles",Automatic,Grey,5 door Hatchback,1.6L,https://www.cazoo.co.uk/car-details/8651950b-3663-5dad-9312-5a391427cc43/
1216,BMW 1 Series,"£23,450",1.5L M Sport 116d,Jun 2020,"26,464 miles",Manual,Black Sapphire metallic paint,5 door Hatchback,1.5L,https://www.cazoo.co.uk/car-details/ea169797-5f8c-599b-943b-fa5535ca2f14/
1217,Volvo XC40,"£23,450",1.5L Momentum T3,Jan 2020,"19,280 miles",Manual,Black,5 door SUV,1.5L,https://www.cazoo.co.uk/car-details/b6665c57-abcf-5ba2-b206-d98a816db52f/
1218,Audi A5,"£23,400",2L S line ultra TDI,Jun 2018,"30,751 miles",Automatic,Black,5 door Hatchback,2L,https://www.cazoo.co.uk/car-details/22a8edcd-5986-564f-ab20-84275f82882a/
1219,Seat Alhambra,"£23,400",2L XCELLENCE TDI,Jun 2018,"36,391 miles",Automatic,Red,5 door MPV,2L,https://www.cazoo.co.uk/car-details/702549ee-82d6-52e1-aa83-4f7e544bcc9a/
1220,BMW X1,"£23,400",2L xLine 20i,Mar 2019,"17,271 miles",Automatic,Mineral Grey,5 door SUV,2L,https://www.cazoo.co.uk/car-details/2353caad-a4a8-593f-9a56-1596682cb70f/
1221,BMW X1,"£23,400",2L xLine 20i,Jun 2019,"15,144 miles",Automatic,Black Sapphire metallic paint,5 door SUV,2L,https://www.cazoo.co.uk/car-details/2b60adf6-ab0d-5190-8e26-afdc5f1dc6e8/
1222,BMW i3,"£23,400",0.6L ,Sept 2018,"17,944 miles",Automatic,Imperial Blue with highlight Frozen Grey,5 door Hatchback,,https://www.cazoo.co.uk/car-details/4f0f7008-4099-5f4d-bf6d-ec9ff391ab05/
1223,Mini Hatch,"£23,400",2L Cooper S Sport,Oct 2021,63 miles,Manual,Chili Red,3 door Hatchback,2L,https://www.cazoo.co.uk/car-details/d29cc0f5-3f12-5417-9cd6-8a5d4e7e8449/
