model,listing_price,trim,mileage,transmission,color,car_body,car_engine,car_make,car_age
X3,36200,2L M Sport MHT 20d,7364,Automatic,Silver,5 door SUV,2L,BMW,2.0
A Class,36050,2L AMG A35,9712,Automatic,Grey,5 door Hatchback,2L,Mercedes-Benz,3.0
XC60,36050,2L R-Design Twin Engine h T8,19238,Automatic,Grey,5 door SUV,2L,Volvo,3.0
E-PACE,36050,2L R-Dynamic S MHEV D165,6187,Automatic,Red,5 door SUV,2L,Jaguar,1.0
S3,36000,2L TFSI,21770,Automatic,Grey,5 door Hatchback,2L,Audi,1.0
XC40,35950,2L R-Design MHEV B4,11594,Automatic,Silver,5 door SUV,2L,Volvo,1.0
Niro,35950,3,4044,Automatic,Black,5 door SUV,Electric,Kia,1.0
Rover Discovery,35850,2L HSE SD4,38132,Automatic,Red,5 door SUV,2L,Land Rover,5.0
Q7,35850,3L S line TDI V6,53114,Automatic,Grey,5 door SUV,3L,Audi,4.0
Macan,35700,2L T,35286,Automatic,White,5 door SUV,2L,Porsche,5.0
X3,35650,3L M40i,27295,Automatic,Black,5 door SUV,3L,BMW,3.0
Kuga,35550,2.5L ST-Line X EcoBoost Duratec,5607,Automatic,Silver,5 door SUV,2.5L,Ford,2.0
XC40,35500,1.5L Inscription Pro T3,5928,Automatic,White,5 door SUV,1.5L,Volvo,1.0
Macan,35450,3L S TD V6,33930,Automatic,Grey,5 door SUV,3L,Porsche,5.0
X5,35300,3L M50d,46700,Automatic,Grey,5 door SUV,3L,BMW,5.0
Range Rover Velar,35200,2L R-Dynamic S D180,50045,Automatic,Black,5 door SUV,2L,Land Rover,4.0
Range Rover Velar,35200,2L D180,34986,Automatic,Silver,5 door SUV,2L,Land Rover,3.0
X4,35100,3L M Sport 30d,40190,Automatic,Black,5 door SUV,3L,BMW,3.0
Q5,35100,2L Black Edition TDI,20780,Automatic,Grey,5 door SUV,2L,Audi,3.0
GLC Class,35000,2.1L AMG Line GLC220d,18322,Automatic,Grey,5 door Coupe,2.1L,Mercedes-Benz,3.0
NX 300h,34900,2.5L NX,11415,Automatic,White,5 door SUV,2.5L,Lexus,2.0
Rover Discovery,34750,2L SE SD4,42896,Automatic,Silver,5 door SUV,2L,Land Rover,4.0
Range Rover Sport,34750,3L HSE SD V6,48813,Automatic,Grey,5 door SUV,3L,Land Rover,5.0
A Class,34700,2L AMG A35,20264,Automatic,Grey,5 door Hatchback,2L,Mercedes-Benz,2.0
Range Rover Velar,34600,2L D180,24316,Automatic,Black,5 door SUV,2L,Land Rover,4.0
X1,34550,2L xLine 18d,1958,Automatic,Black,5 door SUV,2L,BMW,0.5
Range Rover Evoque,34500,2L R-Dynamic D165,3289,Manual,White,5 door SUV,2L,Land Rover,1.0
Q5,34450,2L Black Edition TDI,28030,Automatic,Black,5 door SUV,2L,Audi,2.0
Rover Discovery,34450,2L SE SD4,37060,Automatic,White,5 door SUV,2L,Land Rover,4.0
X3,34375,2L M Sport MHT 20d,11294,Automatic,Black,5 door SUV,2L,BMW,2.0
Range Rover Sport,34350,3L HSE SD V6,58005,Automatic,Silver,5 door SUV,3L,Land Rover,5.0
GLC Class,34300,2L AMG Line MHEV GLC300,18253,Automatic,White,5 door SUV,2L,Mercedes-Benz,2.0
GLC Class,34250,2L AMG Line GLC220d,4515,Automatic,White,5 door SUV,1.9L,Mercedes-Benz,3.0
X1,34250,2L xLine 20i,1432,Automatic,Silver,5 door SUV,2L,BMW,1.0
A Class,34200,2L AMG A35,14840,Automatic,Silver,5 door Hatchback,2L,Mercedes-Benz,3.0
3 Series,34200,2L M Sport 330i,2868,Automatic,Black,4 door Saloon,2L,BMW,1.0
X3,34150,2L M Sport MHT 20d,12819,Automatic,Blue,5 door SUV,2L,BMW,2.0
Countryman,34100,2L John Cooper Works,15834,Automatic,Black,5 door SUV,2L,Mini,2.0
Q7,34100,3L S line TDI V6,42186,Automatic,White,5 door SUV,3L,Audi,4.0
E-PACE,34050,2L MHEV D165,5331,Automatic,Black,5 door SUV,2L,Jaguar,1.0
XC60,34050,2L R-Design Twin Engine h T8,39094,Automatic,Grey,5 door SUV,2L,Volvo,3.0
Q7,34000,3L S line TDI V6,47980,Automatic,Grey,5 door SUV,3L,Audi,5.0
Kuga,34000,2.5L ST-Line X First Edition EcoBoost Duratec,8245,Automatic,Grey,5 door SUV,2.5L,Ford,2.0
A Class,33950,2L AMG A35,21682,Automatic,Grey,5 door Hatchback,2L,Mercedes-Benz,2.0
Octavia,33900,1.4L SE L TSI iV,4040,Automatic,Grey,5 door Estate,1.4L,Skoda,0.5
F-PACE,33850,2L R-Sport d,10198,Automatic,Red,5 door SUV,2L,Jaguar,3.0
Q7,33850,3L S line TDI V6,61752,Automatic,Black,5 door SUV,3L,Audi,4.0
X3,33800,2L M Sport 20d,11492,Automatic,Blue,5 door SUV,2L,BMW,3.0
X3,33750,2L M Sport 20d,5241,Automatic,Black,5 door SUV,2L,BMW,3.0
C Class,33750,1.5L AMG Line Edition MHEV C200,1453,Automatic,Blue,3 door Coupe,1.5L,Mercedes-Benz,1.0
5 Series,33700,2L M Sport 530e,27486,Automatic,White,4 door Saloon,2L,BMW,3.0
C Class,33650,1.5L AMG Line Edition MHEV C200,8709,Automatic,Black,2 door Coupe,1.5L,Mercedes-Benz,1.0
Niro,33600,4,15437,Automatic,Grey,5 door SUV,Electric,Kia,2.0
X3,33600,2L M Sport MHT 20d,22666,Automatic,Grey,5 door SUV,2L,BMW,2.0
XC90,33550,2L Inscription Twin Engine h T8,68620,Automatic,Black,5 door SUV,2L,Volvo,6.0
E-PACE,33550,2L R-Dynamic S D165,14103,Manual,White,5 door SUV,2L,Jaguar,1.0
Rover Discovery,33550,2L HSE SD4,45645,Automatic,Red,5 door SUV,2L,Land Rover,5.0
F-PACE,33500,2L R-Sport d,12119,Automatic,Black,5 door SUV,2L,Jaguar,3.0
GLC Class,33500,2L AMG Line MHEV GLC300,12239,Automatic,White,5 door SUV,2L,Mercedes-Benz,2.0
Q7,33500,3L S line TDI V6,40242,Automatic,Grey,5 door SUV,3L,Audi,5.0
GLA Class,33500,1.3L Sport GLA200,11,Automatic,Black,5 door SUV,1.3L,Mercedes-Benz,1.0
GLA Class,33450,1.3L Sport GLA200,3940,Automatic,Blue,5 door SUV,1.3L,Mercedes-Benz,1.0
Macan,33350,3L S TD V6,40118,Automatic,Black,5 door SUV,3L,Porsche,6.0
Q5,33350,2L Black Edition TDI,28244,Automatic,White,5 door SUV,2L,Audi,3.0
Range Rover Velar,33300,2L D180,30013,Automatic,Black,5 door SUV,2L,Land Rover,4.0
X3,33250,2L M Sport 20d,18042,Automatic,Black,5 door SUV,2L,BMW,3.0
Golf,33250,2L GTI Clubsport TSI,9888,Automatic,Blue,5 door Hatchback,2L,Volkswagen,1.0
F-PACE,33150,2L R-Sport d,5571,Automatic,Silver,5 door SUV,2L,Jaguar,4.0
X5,33100,3L M Sport 40d,35689,Automatic,Black,5 door SUV,3L,BMW,5.0
Q5,33050,2L Black Edition TDI,30916,Automatic,Grey,5 door SUV,2L,Audi,3.0
Kuga,33050,2.5L ST-Line X EcoBoost Duratec,15123,Automatic,Grey,5 door SUV,2.5L,Ford,2.0
TUCSON,33050,1.6L Ultimate MHEV T-GDi,11561,Automatic,Black,5 door SUV,1.6L,Hyundai,1.0
Clubman,33050,2L John Cooper Works,5775,Automatic,Grey,5 door Estate,2L,Mini,1.0
Tiguan,33000,1.5L R-Line TSI,13824,Automatic,White,5 door SUV,1.5L,Volkswagen,1.0
Kuga,33000,2.5L ST-Line X First Edition EcoBoost Duratec,12422,Automatic,Grey,5 door SUV,2.5L,Ford,2.0
X3,32950,2L M Sport 20d,22238,Automatic,Black,5 door SUV,2L,BMW,3.0
XC40,32950,2L Inscription MHEV B4,14970,Automatic,Black,5 door SUV,2L,Volvo,1.0
XC40,32900,2L R-Design T4,9838,Automatic,White,5 door SUV,2L,Volvo,2.0
X2,32900,2L M Sport 20i,12394,Automatic,Blue,5 door SUV,2L,BMW,1.0
XC60,32900,2L Momentum MHEV B5,9159,Automatic,Grey,5 door SUV,2L,Volvo,2.0
Q7,32900,3L S line TDI V6,23229,Automatic,Black,5 door SUV,3L,Audi,6.0
i30,32800,2L N Performance T-GDi,5044,Automatic,Grey,5 door Hatchback,2L,Hyundai,1.0
Q5,32800,2L Black Edition TDI,33085,Automatic,Grey,5 door SUV,2L,Audi,3.0
A Class,32750,1.3L AMG Line A250e,12940,Automatic,Black,5 door Hatchback,1.3L,Mercedes-Benz,2.0
A Class,32700,2L AMG A35,14926,Automatic,White,5 door Hatchback,2L,Mercedes-Benz,3.0
E-PACE,32700,2L R-Dynamic S D180,16436,Automatic,Grey,5 door SUV,2L,Jaguar,1.0
X5,32650,3L M Sport 30d,55726,Automatic,Grey,5 door SUV,3L,BMW,4.0
XC40,32650,2L Inscription MHEV B4,15211,Automatic,Black,5 door SUV,2L,Volvo,2.0
XC40,32600,2L R-Design Pro T4,14654,Automatic,Red,5 door SUV,2L,Volvo,3.0
F-PACE,32600,2L Portfolio i,22029,Automatic,Blue,5 door SUV,2L,Jaguar,4.0
GLC Class,32600,2L AMG Line GLC220d,13927,Automatic,Black,5 door SUV,1.9L,Mercedes-Benz,3.0
Countryman,32600,1.5L Cooper SE Exclusive,13187,Automatic,Black,5 door SUV,1.5L,Mini,2.0
i3,32600,No Trim Specified,1750,Automatic,White,5 door Hatchback,Electric,BMW,0.5
F-PACE,32550,3L S V6,21713,Automatic,Black,5 door SUV,3L,Jaguar,5.0
C Class,32500,1.5L AMG Line MHEV C200,22619,Automatic,Black,3 door Convertible,1.5L,Mercedes-Benz,3.0
X3,32500,3L M Sport 30d,31318,Automatic,Black,5 door SUV,3L,BMW,3.0
GLE Class,32450,3L AMG Line GLE350d V6,30947,Automatic,Grey,5 door SUV,3L,Mercedes-Benz,5.0
Kuga,32450,2.5L Vignale EcoBoost Duratec,23170,Automatic,Silver,5 door SUV,2.5L,Ford,2.0
Range Rover Sport,32450,3L HSE SD V6,59371,Automatic,White,5 door SUV,3L,Land Rover,6.0
GLC Class,32450,2L AMG Line MHEV GLC300,11816,Automatic,White,5 door SUV,2L,Mercedes-Benz,2.0
5 Series,32400,2L M Sport 530i,10281,Automatic,Grey,4 door Saloon,2L,BMW,2.0
Galaxy,32400,2L Titanium X EcoBlue,5417,Automatic,White,5 door MPV,2L,Ford,3.0
Range Rover Velar,32400,2L D180,23861,Automatic,Silver,5 door SUV,2L,Land Rover,4.0
A6 Avant,32350,2L Sport TFSI,9579,Automatic,White,5 door Estate,2L,Audi,2.0
A7,32300,3L Sport TDI V6,18284,Automatic,Black,5 door Hatchback,3L,Audi,4.0
A Class,32300,2L AMG A35,34878,Automatic,Black,5 door Hatchback,2L,Mercedes-Benz,3.0
X3,32250,2L M Sport 20d,22924,Automatic,Black,5 door SUV,2L,BMW,3.0
Q7,32250,3L S line TDI V6,52825,Automatic,Black,5 door SUV,3L,Audi,5.0
GLC Class,32200,2L AMG Line GLC220d,21390,Automatic,Black,5 door SUV,1.9L,Mercedes-Benz,3.0
X3,32200,2L M Sport 20d,26151,Automatic,Grey,5 door SUV,2L,BMW,3.0
Macan,32200,3L S TD V6,50401,Automatic,Other,5 door SUV,3L,Porsche,6.0
F-PACE,32150,2L R-Sport d,24425,Automatic,Grey,5 door SUV,2L,Jaguar,3.0
F-PACE,32150,2L Portfolio i,23253,Automatic,Grey,5 door SUV,2L,Jaguar,3.0
Macan,32100,3L S TD V6,48415,Automatic,Black,5 door SUV,3L,Porsche,6.0
Range Rover Sport,32100,3L HSE SD V6,50082,Automatic,Black,5 door SUV,3L,Land Rover,5.0
F-PACE,32050,2L R-Sport d,21614,Automatic,Blue,5 door SUV,2L,Jaguar,3.0
F-PACE,32050,2L R-Sport d,13797,Automatic,White,5 door SUV,2L,Jaguar,3.0
Focus,32000,2.3L RS EcoBoost T,7536,Manual,White,5 door Hatchback,2.3L,Ford,5.0
GLC Class,31900,2L AMG Line MHEV GLC300,32101,Automatic,White,5 door SUV,2L,Mercedes-Benz,2.0
Tiguan,31850,1.5L R-Line TSI,7542,Automatic,White,5 door SUV,1.5L,Volkswagen,1.0
X3,31750,2L M Sport 20d,23077,Automatic,Black,5 door SUV,2L,BMW,3.0
S3,31650,2L Black Edition TFSI,12371,Automatic,Blue,4 door Saloon,2L,Audi,3.0
