model,listing_price,trim,mileage,transmission,color,car_body,car_engine,car_make,car_age
5 Series,14650,2L M Sport 520d,60154,Automatic,Silver,4 door Saloon,2L,BMW,7.0
500,14650,1L Dolcevita MHEV,866,Manual,Grey,3 door Hatchback,1L,Fiat,0.5
Yaris,14650,1.5L Icon Tech VVT-h,26684,Automatic,Grey,5 door Hatchback,1.5L,Toyota,4.0
Countryman,14650,2L Cooper D,47696,Manual,Silver,5 door SUV,2L,Mini,4.0
Grandland X,14650,1.2L SE Turbo,22164,Automatic,Blue,5 door SUV,1.2L,Vauxhall,3.0
Hatch,14650,2L Cooper S,32110,Manual,Black,5 door Hatchback,2L,Mini,4.0
Qashqai,14650,1.5L Acenta Premium dCi,13806,Manual,Blue,5 door SUV,1.5L,Nissan,3.0
Qashqai,14650,1.5L Acenta Premium dCi,13546,Manual,Blue,5 door SUV,1.5L,Nissan,3.0
Hatch,14650,2L Cooper S,16029,Manual,Grey,3 door Hatchback,2L,Mini,4.0
Focus,14650,1L ST-Line EcoBoost T,10579,Automatic,Black,5 door Hatchback,1L,Ford,5.0
Qashqai,14650,1.5L Acenta Premium dCi,13726,Manual,Red,5 door SUV,1.5L,Nissan,3.0
XCeed,14650,1L 2 T-GDi,18057,Manual,Black,5 door SUV,1L,Kia,2.0
Leon,14650,1.5L FR TSI EVO,20286,Manual,Grey,5 door Hatchback,1.5L,Seat,3.0
Clubman,14650,2L Cooper D Classic,24347,Manual,Black,5 door Estate,2L,Mini,3.0
Arona,14650,1L SE Technology TSI,17442,Automatic,White,5 door SUV,1L,Seat,3.0
Mondeo,14650,2L Titanium EcoBoost T,17147,Automatic,Silver,5 door Hatchback,2L,Ford,7.0
HR-V,14600,1.6L SE i-DTEC,19601,Manual,Silver,5 door SUV,1.6L,Honda,5.0
1 Series,14600,1.5L Sport 118i,29396,Manual,Black,5 door Hatchback,1.5L,BMW,5.0
2 Series,14600,2L Sport 218d,60593,Manual,White,2 door Convertible,2L,BMW,5.0
A4 Avant,14600,2L Sport ultra TDI,97831,Automatic,Silver,5 door Estate,2L,Audi,4.0
500,14600,1L Dolcevita MHEV,3067,Manual,Grey,3 door Hatchback,1L,Fiat,1.0
Grand C4 Picasso,14600,1.6L Flair BlueHDi,50595,Manual,Other,5 door MPV,1.6L,Citroen,4.0
Civic,14600,1L SR VTEC Turbo,38454,Automatic,Red,5 door Hatchback,1L,Honda,5.0
CX-5,14600,2.2L Sport Nav SKYACTIV-D,46670,Manual,Grey,5 door SUV,2.2L,Mazda,6.0
Hatch,14600,1.5L Cooper,10320,Automatic,Grey,3 door Hatchback,1.5L,Mini,6.0
Fiesta,14600,1L Active Edition EcoBoost MHEV T,32834,Manual,Silver,5 door Hatchback,1L,Ford,1.0
Fiesta,14600,1L ST-Line X EcoBoost T,16942,Manual,White,3 door Hatchback,1L,Ford,3.0
A1,14600,1L Sport TFSI,27229,Manual,White,5 door Hatchback,1L,Audi,4.0
Grand C4 Picasso,14600,1.6L Flair BlueHDi,45556,Manual,Red,5 door MPV,1.6L,Citroen,4.0
Passat,14600,2L SE Business BlueMotion Tech TDI,38583,Automatic,Blue,5 door Estate,2L,Volkswagen,7.0
Qashqai,14600,1.5L Acenta Premium dCi,23550,Manual,Blue,5 door SUV,1.5L,Nissan,3.0
Polo,14600,1.2L Match Edition TSI,4781,Automatic,White,5 door Hatchback,1.2L,Volkswagen,5.0
Picanto,14600,1.2L 3,6286,Automatic,Blue,5 door Hatchback,1.2L,Kia,3.0
Qashqai,14600,1.5L Acenta Premium dCi,14072,Manual,Red,5 door SUV,1.5L,Nissan,3.0
Qashqai,14600,1.5L Acenta Premium dCi,20199,Manual,Other,5 door SUV,1.5L,Nissan,3.0
Hatch,14600,1.5L Cooper Classic,23286,Manual,White,5 door Hatchback,1.5L,Mini,2.0
208,14600,1.2L Allure Premium PureTech,20321,Manual,Grey,5 door Hatchback,1.2L,Peugeot,1.0
Focus,14600,2L ST-3 EcoBoost T,47525,Manual,Red,5 door Hatchback,2L,Ford,7.0
Grandland X,14600,1.2L Sport Nav Turbo,16963,Manual,Red,5 door SUV,1.2L,Vauxhall,3.0
A1,14550,1.4L S line CoD TFSI,23178,Manual,Grey,5 door Hatchback,1.4L,Audi,6.0
Mokka X,14550,1.4L Elite Nav ecoTEC i Turbo,6659,Manual,Other,5 door SUV,1.4L,Vauxhall,4.0
Mokka X,14550,1.4L Elite Nav i Turbo,9271,Automatic,Silver,5 door SUV,1.4L,Vauxhall,5.0
TUCSON,14550,1.6L SE Nav Blue Drive GDi,33381,Manual,Grey,5 door SUV,1.6L,Hyundai,4.0
Polo,14550,1L SE TSI,10176,Manual,Grey,5 door Hatchback,1L,Volkswagen,4.0
208,14550,1.2L Allure Premium PureTech,33231,Manual,Grey,5 door Hatchback,1.2L,Peugeot,1.0
500,14550,1L Dolcevita MHEV,3982,Manual,Black,3 door Hatchback,1L,Fiat,1.0
1 Series,14550,1.5L Sport 118i,24033,Manual,Black,5 door Hatchback,1.5L,BMW,5.0
Qashqai,14550,1.5L N-Connecta dCi,40762,Manual,Black,5 door SUV,1.5L,Nissan,3.0
Fiesta,14550,1L ST-Line EcoBoost T,7734,Manual,White,5 door Hatchback,1L,Ford,3.0
Kuga,14550,2L ST-Line EcoBlue TDCi,47908,Manual,Black,5 door SUV,2L,Ford,5.0
Fabia,14550,1L SE TSI,11874,Manual,Grey,5 door Estate,1L,Skoda,1.0
Insignia,14550,2L SRi VX Line Nav BlueInjection Turbo D,47527,Manual,White,5 door Estate,2L,Vauxhall,4.0
A4 Avant,14550,1.4L Sport TFSI,51264,Manual,White,5 door Estate,1.4L,Audi,5.0
Polo,14550,1L beats TSI,21675,Manual,Black,5 door Hatchback,1L,Volkswagen,3.0
2 Series,14550,1.5L M Sport 218i,48251,Manual,Black,2 door Coupe,1.5L,BMW,5.0
TUCSON,14550,1.6L SE Nav GDi,37127,Manual,Red,5 door SUV,1.6L,Hyundai,3.0
Sportage,14550,1.6L 2 GDi,33196,Manual,White,5 door SUV,1.6L,Kia,4.0
Civic,14550,1L SR VTEC Turbo,25955,Manual,White,5 door Hatchback,1L,Honda,4.0
Sportage,14550,1.6L 2 GDi,30338,Manual,Red,5 door SUV,1.6L,Kia,4.0
Golf,14550,1L SE TSI,23136,Manual,White,5 door Hatchback,1L,Volkswagen,4.0
Hatch,14550,1.5L Cooper Classic,12770,Manual,Red,3 door Hatchback,1.5L,Mini,3.0
Ceed,14550,1.6L GT-Line CRDi,17300,Manual,Black,5 door Hatchback,1.6L,Kia,4.0
Hatch,14550,1.5L Cooper Classic,16865,Manual,White,5 door Hatchback,1.5L,Mini,3.0
Kuga,14550,2L Titanium TDCi,9930,Automatic,White,5 door SUV,2L,Ford,7.0
Eclipse Cross,14550,1.5L 3 T,28047,Manual,Red,5 door SUV,1.5L,Mitsubishi,4.0
X-Trail,14550,1.6L n-tec dCi,44757,Automatic,White,5 door SUV,1.6L,Nissan,6.0
Qashqai,14550,1.5L Acenta Premium dCi,7688,Manual,White,5 door SUV,1.5L,Nissan,3.0
Qashqai,14550,1.5L Acenta Premium dCi,15201,Manual,Black,5 door SUV,1.5L,Nissan,3.0
Civic,14550,1L SE VTEC Turbo,20898,Manual,Red,5 door Hatchback,1L,Honda,3.0
i30,14550,1.6L Premium CRDi,27458,Automatic,Silver,5 door Estate,1.6L,Hyundai,4.0
Sportage,14550,1.6L 1 GDi,21598,Manual,White,5 door SUV,1.6L,Kia,3.0
Fiesta,14550,1L Active Edition EcoBoost T,19017,Manual,Grey,5 door Hatchback,1L,Ford,1.0
Sportage,14550,1.6L 2 GDi,33814,Manual,Grey,5 door SUV,1.6L,Kia,4.0
500,14500,1.2L Lounge,6538,Automatic,White,3 door Hatchback,1.2L,Fiat,3.0
X-Trail,14500,2L Acenta dCi,46133,Automatic,Red,5 door SUV,2L,Nissan,5.0
Qashqai,14500,1.5L N-Vision dCi,21276,Manual,Black,5 door SUV,1.5L,Nissan,5.0
Vitara,14500,1.6L SZ5,7964,Automatic,Other,5 door SUV,1.6L,Suzuki,7.0
Golf,14500,1.6L SE Nav TDI,39170,Manual,Silver,5 door Hatchback,1.6L,Volkswagen,3.0
5 Series,14500,2L M Sport 520d,60740,Manual,Black,4 door Saloon,2L,BMW,6.0
Hatch,14500,1.5L Cooper Classic,22596,Manual,Grey,5 door Hatchback,1.5L,Mini,3.0
Octavia,14500,1.6L SE Technology TDI,44499,Automatic,Blue,5 door Estate,1.6L,Skoda,6.0
Hatch,14500,1.5L Cooper Classic,27680,Manual,Blue,3 door Hatchback,1.5L,Mini,3.0
E Class,14500,2.1L AMG Night Edition BlueTEC E220,57450,Automatic,Grey,5 door Saloon,2.1L,Mercedes-Benz,7.0
EcoSport,14500,1L Titanium EcoBoost T,1296,Manual,Other,5 door SUV,1L,Ford,3.0
Countryman,14500,1.6L Cooper S,26899,Manual,Silver,5 door SUV,1.6L,Mini,6.0
Fiesta,14500,1L ST-Line Edition EcoBoost T,13524,Manual,Silver,5 door Hatchback,1L,Ford,2.0
EcoSport,14500,1L Titanium EcoBoost T,6631,Automatic,Red,5 door SUV,1L,Ford,4.0
X-Trail,14500,1.6L N-Vision dCi,35966,Manual,White,5 door SUV,1.6L,Nissan,5.0
3 Series,14500,2L SE 330e,76295,Automatic,Other,4 door Saloon,2L,BMW,5.0
TUCSON,14500,1.6L S Connect GDi,23566,Manual,Grey,5 door SUV,1.6L,Hyundai,3.0
TUCSON,14500,1.6L SE Nav GDi,15385,Manual,Red,5 door SUV,1.6L,Hyundai,3.0
A3,14450,1.4L Sport CoD TFSI,38802,Manual,Blue,5 door Hatchback,1.4L,Audi,5.0
Grandland X,14450,1.2L SE Turbo,13199,Manual,Black,5 door SUV,1.2L,Vauxhall,3.0
Golf,14450,1.6L SE BlueMotion Tech TDI,27120,Manual,Black,5 door Estate,1.6L,Volkswagen,5.0
XE,14450,2L R-Sport d,44355,Manual,Red,4 door Saloon,2L,Jaguar,6.0
Leon,14450,1.4L FR Technology EcoTSI,12010,Manual,Black,5 door Estate,1.4L,Seat,5.0
XE,14450,2L R-Sport d,55629,Automatic,White,4 door Saloon,2L,Jaguar,6.0
Insignia,14450,1.5L Elite Nav i Turbo,24167,Manual,Blue,5 door Hatchback,1.5L,Vauxhall,5.0
Picanto,14450,1.2L 3,8460,Automatic,Orange,5 door Hatchback,1.2L,Kia,3.0
B Class,14450,1.5L SE B180d,23150,Automatic,Black,5 door MPV,1.5L,Mercedes-Benz,6.0
Mazda3,14450,2L Sport Black SKYACTIV-G,7099,Manual,White,5 door Hatchback,2L,Mazda,6.0
Superb,14450,1.6L SE TDI,54401,Automatic,Grey,5 door Hatchback,1.6L,Skoda,4.0
Fiesta,14450,1L Active Edition EcoBoost MHEV T,34905,Manual,Blue,5 door Hatchback,1L,Ford,1.0
500,14450,1L Dolcevita Plus MHEV,3229,Manual,White,3 door Hatchback,1L,Fiat,1.0
B Class,14450,1.5L Exclusive Edition B180d,37938,Manual,Red,5 door MPV,1.5L,Mercedes-Benz,4.0
Clio,14450,1L S Edition TCe,14797,Manual,White,5 door Hatchback,1L,Renault,2.0
HR-V,14450,1.5L EX i-VTEC,33363,Manual,Blue,5 door SUV,1.5L,Honda,6.0
Scirocco,14450,2L GT BlueMotion Tech TDI,13293,Manual,Silver,3 door Hatchback,2L,Volkswagen,6.0
Leon,14450,2L FR Titanium TDI,22715,Automatic,Red,3 door Hatchback,2L,Seat,6.0
Polo,14450,1.2L Match BlueMotion Tech TSI,5995,Automatic,Blue,5 door Hatchback,1.2L,Volkswagen,6.0
EcoSport,14450,1L Titanium EcoBoost T,16445,Automatic,Blue,5 door SUV,1L,Ford,3.0
HR-V,14450,1.6L SE Navi i-DTEC,33709,Manual,Grey,5 door SUV,1.6L,Honda,3.0
Qashqai,14450,1.5L Acenta Premium dCi,13273,Manual,Blue,5 door SUV,1.5L,Nissan,3.0
Juke,14450,1.6L Nismo RS DIG-T,35558,Automatic,Black,5 door SUV,1.6L,Nissan,5.0
Giulietta,14450,2L Super JTDM-2,27092,Automatic,White,5 door Hatchback,2L,Alfa Romeo,5.0
Qashqai,14450,1.2L Tekna DIG-T,33251,Automatic,White,5 door SUV,1.2L,Nissan,7.0
Fiesta,14450,1L ST-Line Edition EcoBoost T,15319,Manual,Blue,5 door Hatchback,1L,Ford,2.0
A1,14450,1.4L Sport TFSI,21359,Manual,White,5 door Hatchback,1.4L,Audi,4.0
Hatch,14450,1.5L Cooper Classic,10806,Manual,Black,5 door Hatchback,1.5L,Mini,2.0
RAV4,14450,2L Business Edition D-4D,28501,Manual,White,5 door SUV,2L,Toyota,6.0
TUCSON,14450,1.6L SE Nav GDi,19993,Manual,Red,5 door SUV,1.6L,Hyundai,3.0
Clio,14450,1L RS Line TCe,15982,Manual,Black,5 door Hatchback,1L,Renault,2.0
2 Series,14450,2L Sport 218d,28995,Manual,Blue,2 door Coupe,2L,BMW,4.0
Golf,14400,1.4L SE Nav BlueMotion Tech TSI,35109,Manual,Black,5 door Hatchback,1.4L,Volkswagen,5.0
Arona,14400,1L FR TSI,17564,Manual,Grey,5 door SUV,1L,Seat,4.0
Grandland X,14400,1.2L Sport Nav Turbo,33965,Manual,Blue,5 door SUV,1.2L,Vauxhall,4.0
595,14400,1.4L 70th T-Jet,14968,Manual,White,3 door Hatchback,1.4L,Abarth,2.0
Polo,14400,1.2L SE BlueMotion Tech TSI,8781,Automatic,Black,5 door Hatchback,1.2L,Volkswagen,6.0
A3,14400,1.6L Sport TDI,29555,Manual,Red,4 door Saloon,1.6L,Audi,5.0
Megane,14400,1.3L Iconic TCe,10128,Manual,Red,5 door Hatchback,1.3L,Renault,3.0
Cherokee,14400,2.2L Limited MultiJetII,55375,Automatic,Other,5 door SUV,2.2L,Jeep,5.0
C Class,14400,1.6L Sport C200d,62997,Automatic,Silver,4 door Saloon,1.6L,Mercedes-Benz,6.0
EcoSport,14400,1L Titanium EcoBoost T,21566,Automatic,Grey,5 door SUV,1L,Ford,4.0
Grand C-Max,14400,1L Titanium EcoBoost T,24115,Manual,Red,5 door MPV,1L,Ford,3.0
A Class,14400,1.5L A180 Sport A180 CDI,18161,Automatic,Black,5 door Hatchback,1.5L,Mercedes-Benz,7.0
Leon,14400,1.5L FR Sport TSI EVO,41146,Manual,Silver,5 door Hatchback,1.5L,Seat,3.0
X-Trail,14400,1.6L n-tec dCi,38175,Manual,Black,5 door SUV,1.6L,Nissan,6.0
Hatch,14400,1.5L Cooper,30391,Automatic,Red,3 door Hatchback,1.5L,Mini,5.0
Polo,14400,1L SE TSI,32996,Automatic,Silver,5 door Hatchback,1L,Volkswagen,4.0
A Class,14400,1.6L SE A160,30579,Manual,White,5 door Hatchback,1.6L,Mercedes-Benz,5.0
Duster,14400,1.3L Comfort TCe,32356,Manual,White,5 door SUV,1.3L,Dacia,1.0
Polo,14400,1.8L GTI BlueMotion Tech TSI,35773,Manual,Black,3 door Hatchback,1.8L,Volkswagen,6.0
Ibiza,14400,1L FR TSI,2885,Manual,White,5 door Hatchback,1L,Seat,3.0
Kuga,14400,1.5L Zetec EcoBoost T,14417,Manual,White,5 door SUV,1.5L,Ford,3.0
EcoSport,14400,1L Titanium EcoBoost T,10567,Automatic,Red,5 door SUV,1L,Ford,4.0
Qashqai,14400,1.5L Acenta Premium dCi,12448,Manual,Blue,5 door SUV,1.5L,Nissan,3.0
EcoSport,14400,1L Titanium EcoBoost T,23568,Automatic,Blue,5 door SUV,1L,Ford,3.0
Kuga,14400,2L Titanium TDCi,42310,Manual,Grey,5 door SUV,2L,Ford,5.0
TUCSON,14400,1.6L SE Nav Blue Drive GDi,19092,Manual,Blue,5 door SUV,1.6L,Hyundai,4.0
Kuga,14400,2L Titanium X TDCi,46483,Automatic,Black,5 door SUV,2L,Ford,6.0
A1,14400,1.4L Sport TFSI,20372,Manual,Black,5 door Hatchback,1.4L,Audi,4.0
Eclipse Cross,14400,1.5L 3 T,25021,Manual,White,5 door SUV,1.5L,Mitsubishi,4.0
Polo,14400,1L R-Line TSI,19851,Manual,Black,5 door Hatchback,1L,Volkswagen,4.0
Insignia,14400,1.5L SRi VX Line Nav i Turbo,35691,Automatic,Red,5 door Hatchback,1.5L,Vauxhall,3.0
XF,14400,2L R-Sport d,51381,Automatic,Grey,4 door Saloon,2L,Jaguar,6.0
TUCSON,14400,1.6L SE Nav GDi,23479,Manual,Blue,5 door SUV,1.6L,Hyundai,4.0
Polo,14400,1.2L Match Edition TSI,9834,Automatic,White,5 door Hatchback,1.2L,Volkswagen,5.0
Sportage,14400,1.6L 2 GDi,37698,Manual,White,5 door SUV,1.6L,Kia,5.0
Grandland X,14350,1.2L Sport Nav Turbo,34804,Manual,Grey,5 door SUV,1.2L,Vauxhall,4.0
Duster,14350,1.3L Comfort TCe,46893,Manual,Orange,5 door SUV,1.3L,Dacia,1.0
1 Series,14350,1.5L SE 118i,15957,Manual,Black,5 door Hatchback,1.5L,BMW,5.0
Golf,14350,1L SE Nav TSI,13661,Manual,Red,5 door Hatchback,1L,Volkswagen,4.0
Qashqai,14350,1.2L Tekna DIG-T,32884,Manual,Blue,5 door SUV,1.2L,Nissan,5.0
Sportage,14350,1.6L 1 GDi,31998,Manual,Silver,5 door SUV,1.6L,Kia,3.0
Grandland X,14350,1.2L SE Turbo,10790,Manual,Black,5 door SUV,1.2L,Vauxhall,4.0
Golf,14350,1.6L SE Nav BlueMotion Tech TDI,24247,Manual,Grey,5 door Hatchback,1.6L,Volkswagen,5.0
595,14350,1.4L 70th T-Jet,7160,Manual,Blue,3 door Hatchback,1.4L,Abarth,2.0
Mazda6,14350,2.2L SE-L Nav SKYACTIV-D,38944,Automatic,Silver,5 door Estate,2.2L,Mazda,5.0
Grand C4 Picasso,14350,1.6L Flair BlueHDi,40852,Manual,Grey,5 door MPV,1.6L,Citroen,5.0
Grandland X,14350,1.2L SE Turbo,8298,Manual,White,5 door SUV,1.2L,Vauxhall,4.0
Arona,14350,1L SE Technology TSI,21063,Automatic,Black,5 door SUV,1L,Seat,3.0
Sportage,14350,1.6L 2 GDi,31857,Manual,Grey,5 door SUV,1.6L,Kia,4.0
TUCSON,14350,1.6L SE Nav Blue Drive GDi,22656,Manual,Blue,5 door SUV,1.6L,Hyundai,4.0
1 Series,14350,1.5L Sport 118i,25917,Manual,Black,5 door Hatchback,1.5L,BMW,5.0
Qashqai,14350,1.5L Acenta Premium dCi,15967,Manual,Other,5 door SUV,1.5L,Nissan,3.0
A4 Avant,14350,1.4L Sport TFSI,42066,Manual,White,5 door Estate,1.4L,Audi,5.0
X-Trail,14350,1.6L n-tec dCi,44212,Automatic,Silver,5 door SUV,1.6L,Nissan,6.0
Civic,14350,1L SR VTEC Turbo,46116,Automatic,Red,5 door Hatchback,1L,Honda,3.0
Golf,14350,2L GTD BlueMotion Tech TDI,67792,Automatic,Blue,5 door Estate,2L,Volkswagen,7.0
Fiesta,14350,1L ST-Line Edition EcoBoost T,16137,Manual,Silver,5 door Hatchback,1L,Ford,2.0
Insignia,14350,2L SRi VX Line Nav BlueInjection Turbo D,49523,Manual,White,5 door Estate,2L,Vauxhall,4.0
Qashqai,14350,1.5L Acenta Premium dCi,20666,Manual,Red,5 door SUV,1.5L,Nissan,3.0
Micra,14350,1L Tekna IG-T,5547,Manual,White,5 door Hatchback,1L,Nissan,1.0
Fiesta,14350,1L ST-Line Edition EcoBoost T,15429,Manual,Silver,5 door Hatchback,1L,Ford,2.0
Fiesta,14350,1L ST-Line Edition EcoBoost T,14247,Manual,Silver,5 door Hatchback,1L,Ford,2.0
1 Series,14350,1.5L Sport 118i,19590,Manual,Black,3 door Hatchback,1.5L,BMW,4.0
Hatch,14350,2L Cooper S,24174,Manual,White,3 door Hatchback,2L,Mini,4.0
TUCSON,14350,1.6L SE Nav GDi,30256,Manual,Blue,5 door SUV,1.6L,Hyundai,3.0
fortwo,14350,0.9L BRABUS Xclusive T,28636,Automatic,Black,2 door Coupe,0.9L,Smart,5.0
Mondeo,14350,2L Titanium Edition TDCi,58443,Automatic,Silver,5 door Hatchback,2L,Ford,3.0
Hatch,14350,1.5L Cooper Classic,12175,Manual,Silver,5 door Hatchback,1.5L,Mini,3.0
4 Series,14300,2L SE 420d,59524,Automatic,White,2 door Coupe,2L,BMW,6.0
308,14300,1.5L Allure Premium BlueHDi,34115,Automatic,Black,5 door Hatchback,1.5L,Peugeot,1.0
208,14300,1.2L GT Line PureTech,12883,Automatic,White,5 door Hatchback,1.2L,Peugeot,3.0
595,14300,1.4L Competizione T-Jet,34000,Manual,White,3 door Hatchback,1.4L,Abarth,6.0
Golf,14300,1.4L SE Nav BlueMotion Tech TSI,40553,Manual,Red,5 door Hatchback,1.4L,Volkswagen,5.0
Focus,14300,1L Titanium X EcoBoost T,12833,Manual,Black,5 door Hatchback,1L,Ford,5.0
Civic,14300,1L SR VTEC Turbo,32714,Manual,White,5 door Hatchback,1L,Honda,4.0
Fiesta,14300,1L Trend EcoBoost T,8846,Manual,Blue,5 door Hatchback,1L,Ford,2.0
Fiesta,14300,1L Trend EcoBoost T,8761,Manual,Blue,5 door Hatchback,1L,Ford,2.0
X-Trail,14300,1.6L Tekna dCi,52232,Automatic,Grey,5 door SUV,1.6L,Nissan,7.0
2 Series,14300,2L M Sport 218d,54161,Manual,Black,2 door Coupe,2L,BMW,5.0
TUCSON,14300,1.6L SE Nav Blue Drive GDi,30356,Manual,Blue,5 door SUV,1.6L,Hyundai,4.0
Scirocco,14300,1.4L GT TSI,34497,Manual,Grey,3 door Hatchback,1.4L,Volkswagen,6.0
Yaris,14300,1.5L Icon VVT-h,40093,Automatic,Blue,5 door Hatchback,1.5L,Toyota,3.0
Kuga,14300,1.5L Zetec EcoBoost T,17685,Manual,Blue,5 door SUV,1.5L,Ford,3.0
Grandland X,14300,1.2L SE Turbo,8376,Manual,Red,5 door SUV,1.2L,Vauxhall,3.0
Golf,14300,1.6L SE TDI,50311,Automatic,Blue,5 door Hatchback,1.6L,Volkswagen,4.0
Countryman,14300,2L Cooper D,12947,Automatic,Blue,5 door SUV,2L,Mini,7.0
Qashqai,14300,1.5L Acenta Premium dCi,31410,Manual,Blue,5 door SUV,1.5L,Nissan,3.0
Yaris,14300,1.5L Icon VVT-h,2727,Automatic,Black,5 door Hatchback,1.5L,Toyota,6.0
Civic,14300,1L EX VTEC Turbo,24811,Manual,Blue,5 door Hatchback,1L,Honda,5.0
Qashqai,14300,1.5L Acenta Premium dCi,15181,Manual,Blue,5 door SUV,1.5L,Nissan,3.0
Picanto,14300,1L GT-Line DPi,11899,Automatic,White,5 door Hatchback,1L,Kia,1.0
Kuga,14250,1.5L Zetec TDCi,21770,Manual,Grey,5 door SUV,1.5L,Ford,4.0
Focus,14250,1L Zetec EcoBoost T,24976,Manual,Blue,5 door Hatchback,1L,Ford,3.0
Leon,14250,1.4L FR Technology TSI,31349,Manual,Blue,5 door Estate,1.4L,Seat,4.0
XE,14250,2L Portfolio d,54280,Automatic,Blue,4 door Saloon,2L,Jaguar,7.0
Corsa,14250,1.4L Griffin i,2463,Automatic,Red,5 door Hatchback,1.4L,Vauxhall,3.0
Qashqai,14250,1.5L Acenta Premium dCi,34486,Manual,Grey,5 door SUV,1.5L,Nissan,3.0
Fiesta,14250,1L Active Edition EcoBoost MHEV T,25568,Manual,Black,5 door Hatchback,1L,Ford,2.0
A1,14250,1L Sport TFSI,11906,Manual,Silver,5 door Hatchback,1L,Audi,5.0
Sportage,14250,1.6L 2 GDi,37098,Manual,Blue,5 door SUV,1.6L,Kia,4.0
TUCSON,14250,1.6L SE Nav Blue Drive GDi,30625,Manual,Blue,5 door SUV,1.6L,Hyundai,4.0
Hatch,14250,1.5L Cooper,12649,Manual,Red,5 door Hatchback,1.5L,Mini,4.0
124 Spider,14250,1.4L Lusso MultiAir,27903,Manual,Red,2 door Convertible,1.4L,Fiat,5.0
Qashqai,14250,1.5L Acenta Premium dCi,17336,Manual,Blue,5 door SUV,1.5L,Nissan,3.0
Corsa,14250,1.2L SRi Premium Turbo,13104,Manual,Black,5 door Hatchback,1.2L,Vauxhall,2.0
A Class,14250,1.5L SE A180d,32995,Manual,Grey,5 door Hatchback,1.5L,Mercedes-Benz,5.0
Crossland X,14250,1.2L Elite Nav Turbo,10658,Automatic,Grey,5 door SUV,1.2L,Vauxhall,3.0
A1,14250,1.6L Black Edition TDI,34656,Manual,Grey,3 door Hatchback,1.6L,Audi,4.0
Clubman,14250,1.5L Cooper,24614,Manual,Grey,5 door Estate,1.5L,Mini,4.0
EcoSport,14250,1L ST-Line EcoBoost T,30232,Automatic,Red,5 door SUV,1L,Ford,3.0
X-Trail,14250,1.6L Tekna dCi,36563,Manual,Orange,5 door SUV,1.6L,Nissan,5.0
3 Series,14200,2L Sport 320i,50652,Manual,Grey,4 door Saloon,2L,BMW,5.0
S60,14200,2L R-Design Lux Nav D4,52791,Automatic,Grey,4 door Saloon,2L,Volvo,6.0
Qashqai,14200,1.5L Tekna dCi,36273,Manual,Black,5 door SUV,1.5L,Nissan,5.0
TUCSON,14200,1.6L SE Nav Blue Drive GDi,35251,Manual,Blue,5 door SUV,1.6L,Hyundai,4.0
Leon,14200,1.5L FR TSI EVO,25085,Manual,Grey,5 door Hatchback,1.5L,Seat,4.0
TUCSON,14200,1.6L SE Nav GDi,38742,Manual,Black,5 door SUV,1.6L,Hyundai,4.0
Grandland X,14200,1.2L SE Turbo,7378,Manual,Black,5 door SUV,1.2L,Vauxhall,4.0
Qashqai,14200,1.3L Acenta Premium DIG-T,35189,Manual,Red,5 door SUV,1.3L,Nissan,3.0
A Class,14200,1.6L SE A160,44677,Manual,Black,5 door Hatchback,1.6L,Mercedes-Benz,5.0
2 Series,14200,2L Sport 218d,26072,Manual,Grey,2 door Coupe,2L,BMW,5.0
Corsa,14200,1.4L SE Nav ecoTEC i,2697,Automatic,Blue,5 door Hatchback,1.4L,Vauxhall,3.0
DS 4 CROSSBACK,14200,2L BlueHDi,19121,Automatic,Orange,5 door Hatchback,2L,DS,5.0
Scirocco,14200,1.4L GT TSI,38491,Manual,Grey,3 door Hatchback,1.4L,Volkswagen,4.0
Fiesta,14200,1L Active 1 EcoBoost T,19678,Manual,White,5 door Hatchback,1L,Ford,3.0
TUCSON,14200,1.6L SE Nav Blue Drive GDi,25169,Manual,Black,5 door SUV,1.6L,Hyundai,4.0
Sportage,14200,1.6L 2 GDi,37776,Manual,Black,4 door SUV,1.6L,Kia,4.0
Tivoli,14200,1.2L Ventura P,1023,Manual,White,5 door SUV,1.2L,Ssangyong,1.0
Polo,14200,1L beats EVO,7049,Manual,Black,5 door Hatchback,1L,Volkswagen,3.0
Hatch,14200,2L Cooper S,34001,Manual,Blue,3 door Hatchback,2L,Mini,4.0
TUCSON,14200,1.6L SE Nav GDi,35528,Manual,White,5 door SUV,1.6L,Hyundai,3.0
Polo,14200,1L SE Tech Edition TSI,38071,Automatic,White,5 door Hatchback,1L,Volkswagen,3.0
EcoSport,14200,1L Titanium EcoBoost T,20656,Automatic,Grey,5 door SUV,1L,Ford,3.0
Hatch,14200,1.5L Cooper Classic,14897,Manual,Red,5 door Hatchback,1.5L,Mini,3.0
208,14200,1.2L Allure PureTech,14803,Manual,White,5 door Hatchback,1.2L,Peugeot,2.0
Corsa,14200,1.2L SE Nav,9810,Manual,Black,5 door Hatchback,1.2L,Vauxhall,1.0
Hatch,14200,1.5L Cooper Classic,15178,Manual,Silver,5 door Hatchback,1.5L,Mini,3.0
TUCSON,14200,1.6L SE Nav GDi,27475,Manual,Blue,5 door SUV,1.6L,Hyundai,3.0
TUCSON,14200,1.6L SE Nav GDi,31686,Manual,Grey,5 door SUV,1.6L,Hyundai,3.0
